id	dataset_id	cluster_id	cluster_name	sample_id	gene_symbol	entrez_geneid	species_specific_geneid	avg_log_fc	pct1	pct2	p_value	padj	other_value	other_value_type	rank	source_gene_info	rank_text
755444	84	1	PSC	merged	CG15550	43666	FBgn0039811	5.22	100.00	2.60	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755445	84	1	PSC	merged	CG6023	32814	FBgn0030912	3.69	87.80	9.80	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755446	84	1	PSC	merged	mthl7	38910	FBgn0035847	3.49	53.40	0.20	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755447	84	1	PSC	merged	ImpL2	38513	FBgn0001257	2.93	77.20	5.40	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755448	84	1	PSC	merged	Pepck2	37130	FBgn0034356	2.81	50.80	2.70	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755449	84	1	PSC	merged	Antp	40835	FBgn0260642	2.80	93.10	0.40	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755450	84	1	PSC	merged	CG9451	40118	FBgn0036876	2.79	39.70	1.50	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755451	84	1	PSC	merged	tau	326116	FBgn0266579	2.75	91.50	0.30	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755452	84	1	PSC	merged	CG44325	31831	FBgn0265413	2.44	91.00	4.90	0.00	0.00	NULL	NULL	NULL	gene_symbol	top10
755453	84	1	PSC	merged	CG15115	37192	FBgn0034413	2.11	82.00	3.30	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755454	84	1	PSC	merged	kn	45318	FBgn0001319	2.05	79.40	5.10	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755455	84	1	PSC	merged	CG15549	43665	FBgn0039810	1.95	73.00	0.30	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755456	84	1	PSC	merged	CG30054	246420	FBgn0050054	1.85	64.00	3.10	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755457	84	1	PSC	merged	mthl12	261599	FBgn0045442	1.48	33.90	0.00	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755458	84	1	PSC	merged	MstProx	40890	FBgn0015770	1.20	33.30	0.00	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755459	84	1	PSC	merged	Toll-4	34235	FBgn0032095	0.99	36.50	0.20	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755460	84	1	PSC	merged	CG34353	5740590	FBgn0085382	0.92	37.00	0.30	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755461	84	1	PSC	merged	5-HT1B	37191	FBgn0263116	0.90	33.90	1.10	0.00	0.00	NULL	NULL	NULL	gene_symbol	top100
755462	84	1	PSC	merged	rdgA	31826	FBgn0261549	1.23	47.60	2.60	1.74791455562376e-293	2.71625921943932e-289	NULL	NULL	NULL	gene_symbol	top100
755463	84	1	PSC	merged	sm	37254	FBgn0003435	1.25	54.00	3.90	1.38588002994904e-260	2.15365756654081e-256	NULL	NULL	NULL	gene_symbol	top100
755464	84	1	PSC	merged	CG13437	37343	FBgn0034541	0.75	25.90	0.80	3.17629258998277e-253	4.93595868483322e-249	NULL	NULL	NULL	gene_symbol	top100
755465	84	1	PSC	merged	CG6287	34554	FBgn0032350	2.29	84.70	15.50	8.14644089438563e-192	1.26595691498753e-187	NULL	NULL	NULL	gene_symbol	top100
755466	84	1	PSC	merged	lncRNA:CR44430	19835618	FBgn0265612	1.42	52.40	5.50	7.29410160561689e-174	1.13350338951286e-169	NULL	NULL	NULL	gene_symbol	top100
755467	84	1	PSC	merged	CG15784	31461	FBgn0029766	2.49	82.50	15.80	9.90204807565998e-174	1.53877827095756e-169	NULL	NULL	NULL	gene_symbol	top10
755468	84	1	PSC	merged	noc	34847	FBgn0005771	0.88	35.40	2.60	4.01381693987605e-164	6.23747152456737e-160	NULL	NULL	NULL	gene_symbol	top100
755469	84	1	PSC	merged	Fur1	47220	FBgn0004509	1.74	77.20	16.40	4.08938306703606e-151	6.35490128617403e-147	NULL	NULL	NULL	gene_symbol	top100
755470	84	1	PSC	merged	fax	39826	FBgn0014163	1.60	98.40	26.60	1.16189570875368e-140	1.80558593140321e-136	NULL	NULL	NULL	gene_symbol	top100
755471	84	1	PSC	merged	elB	34844	FBgn0004858	1.30	58.70	10.10	2.34044076374482e-124	3.63704494685944e-120	NULL	NULL	NULL	gene_symbol	top100
755472	84	1	PSC	merged	CG12163	40628	FBgn0260462	1.98	94.70	47.30	9.43648267989042e-117	1.46642940845497e-112	NULL	NULL	NULL	gene_symbol	top100
755473	84	1	PSC	merged	CG2865	31217	FBgn0023526	1.60	98.40	79.90	1.28986287744658e-96	2.00444691155199e-92	NULL	NULL	NULL	gene_symbol	top100
755474	84	1	PSC	merged	ham	35135	FBgn0045852	1.62	86.20	36.50	1.02399839959306e-93	1.59129351296762e-89	NULL	NULL	NULL	gene_symbol	top100
755475	84	1	PSC	merged	Gel	46008	FBgn0010225	1.71	93.70	70.20	2.55878129409424e-88	3.97634613102245e-84	NULL	NULL	NULL	gene_symbol	top100
755476	84	1	PSC	merged	CrebA	39682	FBgn0004396	1.43	91.50	53.90	1.42128181761424e-83	2.20867194457253e-79	NULL	NULL	NULL	gene_symbol	top100
755477	84	1	PSC	merged	ced-6	35971	FBgn0029092	1.49	88.90	45.20	2.41150478607053e-83	3.74747843755361e-79	NULL	NULL	NULL	gene_symbol	top100
755478	84	1	PSC	merged	IM18	3772138	FBgn0067903	1.35	83.60	30.60	3.26428487443004e-70	5.07269869486428e-66	NULL	NULL	NULL	gene_symbol	top100
755479	84	1	PSC	merged	Oda	36307	FBgn0014184	0.94	96.80	92.60	1.13800200050231e-65	1.76845510878059e-61	NULL	NULL	NULL	gene_symbol	top100
755480	84	1	PSC	merged	lncRNA:CR43855	14462727	FBgn0264437	1.40	97.90	79.90	1.37974595628765e-65	2.14412521607101e-61	NULL	NULL	NULL	gene_symbol	top100
755481	84	1	PSC	merged	AnxB11	32612	FBgn0030749	1.06	95.80	84.90	5.0899486313265e-60	7.90978017308137e-56	NULL	NULL	NULL	gene_symbol	top100
755482	84	1	PSC	merged	lncRNA:CR34335	12798102	FBgn0267910	0.99	97.90	95.60	8.42891744511329e-60	1.3098537709706e-55	NULL	NULL	NULL	gene_symbol	top100
